Year,Fatalities,Category
1985,43825,Total traffic
1985,18125,Alcohol-impaired traffic
1990,44599,Total traffic
1990,17705,Alcohol-impaired traffic
1995,41817,Total traffic
1995,13478,Alcohol-impaired traffic
2000,41945,Total traffic
2000,13324,Alcohol-impaired traffic
2005,43510,Total traffic
2005,13582,Alcohol-impaired traffic
2010,32999,Total traffic
2010,10136,Alcohol-impaired traffic
2011,32479,Total traffic
2011,9865,Alcohol-impaired traffic
2012,33782,Total traffic
2012,10336,Alcohol-impaired traffic
2013,32894,Total traffic
2013,10110,Alcohol-impaired traffic
2014,32744,Total traffic
2014,9943,Alcohol-impaired traffic
2015,35485,Total traffic
2015,10320,Alcohol-impaired traffic
2016,37806,Total traffic
2016,10967,Alcohol-impaired traffic
2017,37473,Total traffic
2017,10908,Alcohol-impaired traffic
2018,36835,Total traffic
2018,10710,Alcohol-impaired traffic
2019,36096,Total traffic
2019,10142,Alcohol-impaired traffic
