Year,Total traffic fatalities,Alcohol-impaired traffic fatalities,Alcohol,None,Total
1985,"43,825","18,125",0.4136,58.64%,100.00%
1990,"44,599","17,705",0.3970,60.30%,100.00%
1995,"41,817","13,478",0.3223,67.77%,100.00%
2000,"41,945","13,324",0.3177,68.23%,100.00%
2005,"43,510","13,582",0.3122,68.78%,100.00%
2010,"32,999","10,136",0.3072,69.28%,100.00%
2011,"32,479","9,865",0.3037,69.63%,100.00%
2012,"33,782","10,336",0.3060,69.40%,100.00%
2013,"32,894","10,110",0.3074,69.26%,100.00%
2014,"32,744","9,943",0.3037,69.63%,100.00%
2015,"35,485","10,320",0.2908,70.92%,100.00%
2016,"37,806","10,967",0.2901,70.99%,100.00%
2017,"37,473","10,908",0.2911,70.89%,100.00%
2018,"36,835","10,710",0.2908,70.92%,100.00%
2019,"36,096","10,142",0.2810,71.90%,100.00%
