Alcohol impared traffic fatalities
,,,,,
Year,Fatalities,Category,Alcohol,None,Total
1985,"43,825",Total traffic,41.36%,58.64%,100.00%
1985,"18,125",Alcohol-impaired traffic,,,
1990,"44,599",Total traffic,39.70%,60.30%,100.00%
1990,"17,705",Alcohol-impaired traffic,,,
1995,"41,817",Total traffic,32.23%,67.77%,100.00%
1995,"13,478",Alcohol-impaired traffic,,,
2000,"41,945",Total traffic,31.77%,68.23%,100.00%
2000,"13,324",Alcohol-impaired traffic,,,
2005,"43,510",Total traffic,31.22%,68.78%,100.00%
2005,"13,582",Alcohol-impaired traffic,,,
2010,"32,999",Total traffic,30.72%,69.28%,100.00%
2010,"10,136",Alcohol-impaired traffic,,,
2011,"32,479",Total traffic,30.37%,69.63%,100.00%
2011,"9,865",Alcohol-impaired traffic,,,
2012,"33,782",Total traffic,30.60%,69.40%,100.00%
2012,"10,336",Alcohol-impaired traffic,,,
2013,"32,894",Total traffic,30.74%,69.26%,100.00%
2013,"10,110",Alcohol-impaired traffic,,,
2014,"32,744",Total traffic,30.37%,69.63%,100.00%
2014,"9,943",Alcohol-impaired traffic,,,
2015,"35,485",Total traffic,29.08%,70.92%,100.00%
2015,"10,320",Alcohol-impaired traffic,,,
2016,"37,806",Total traffic,29.01%,70.99%,100.00%
2016,"10,967",Alcohol-impaired traffic,,,
2017,"37,473",Total traffic,29.11%,70.89%,100.00%
2017,"10,908",Alcohol-impaired traffic,,,
2018,"36,835",Total traffic,29.08%,70.92%,100.00%
2018,"10,710",Alcohol-impaired traffic,,,
2019,"36,096",Total traffic,28.10%,71.90%,100.00%
2019,"10,142",Alcohol-impaired traffic,,,
