Time,Day,Percentage,,
12 - 12.59 a.m.,Monday,5.47,,
1 - 1.59 a.m.,Monday,6.45,,
2 - 4.59 a.m.,Monday,6.29,,
5 - 6.59 a.m.,Monday,2.90,,
7 - 9.59 a.m.,Monday,1.10,,
10 - 1.59 p.m.,Monday,1.30,,
2 - 4.29 p.m.,Monday,2.04,,
4.30 - 6.29 p.m.,Monday,3.13,,
6.30 - 8.59 p.m.,Monday,4.41,,
9 - 10.59 p.m.,Monday,5.04,,
11 - 11.59 p.m.,Monday,5.54,,
12 - 12.59 a.m.,Tuesday,5.35,,
1 - 1.59 a.m.,Tuesday,6.30,,
2 - 4.59 a.m.,Tuesday,6.15,,
5 - 6.59 a.m.,Tuesday,2.83,,
7 - 9.59 a.m.,Tuesday,1.08,,
10 - 1.59 p.m.,Tuesday,1.27,,
2 - 4.29 p.m.,Tuesday,1.99,,
4.30 - 6.29 p.m.,Tuesday,3.06,,
6.30 - 8.59 p.m.,Tuesday,4.31,,
9 - 10.59 p.m.,Tuesday,4.92,,
11 - 11.59 p.m.,Tuesday,5.41,,
12 - 12.59 a.m.,Wednesday,5.91,,
1 - 1.59 a.m.,Wednesday,6.97,,
2 - 4.59 a.m.,Wednesday,6.80,,
5 - 6.59 a.m.,Wednesday,3.13,,
7 - 9.59 a.m.,Wednesday,1.19,,
10 - 1.59 p.m.,Wednesday,1.40,,
2 - 4.29 p.m.,Wednesday,2.20,,
4.30 - 6.29 p.m.,Wednesday,3.38,,
6.30 - 8.59 p.m.,Wednesday,4.77,,
9 - 10.59 p.m.,Wednesday,5.44,,
11 - 11.59 p.m.,Wednesday,5.99,,
12 - 12.59 a.m.,Thursday,6.92,,
1 - 1.59 a.m.,Thursday,8.15,,
2 - 4.59 a.m.,Thursday,7.95,,
5 - 6.59 a.m.,Thursday,3.66,,
7 - 9.59 a.m.,Thursday,1.40,,
10 - 1.59 p.m.,Thursday,1.64,,
2 - 4.29 p.m.,Thursday,2.57,,
4.30 - 6.29 p.m.,Thursday,3.96,,
6.30 - 8.59 p.m.,Thursday,5.58,,
9 - 10.59 p.m.,Thursday,6.37,,
11 - 11.59 p.m.,Thursday,7.01,,
12 - 12.59 a.m.,Friday,10.19,,
1 - 1.59 a.m.,Friday,12.00,,
2 - 4.59 a.m.,Friday,11.71,,
5 - 6.59 a.m.,Friday,5.39,,
7 - 9.59 a.m.,Friday,2.06,,
10 - 1.59 p.m.,Friday,2.41,,
2 - 4.29 p.m.,Friday,3.79,,
4.30 - 6.29 p.m.,Friday,5.83,,
6.30 - 8.59 p.m.,Friday,8.21,,
9 - 10.59 p.m.,Friday,9.38,,
11 - 11.59 p.m.,Friday,10.32,,
12 - 12.59 a.m.,Saturday,16.10,,
1 - 1.59 a.m.,Saturday,18.97,,
2 - 4.59 a.m.,Saturday,18.51,,
5 - 6.59 a.m.,Saturday,8.52,,
7 - 9.59 a.m.,Saturday,3.25,,
10 - 1.59 p.m.,Saturday,3.81,,
2 - 4.29 p.m.,Saturday,5.99,,
4.30 - 6.29 p.m.,Saturday,9.22,,
6.30 - 8.59 p.m.,Saturday,12.98,,
9 - 10.59 p.m.,Saturday,14.82,,
11 - 11.59 p.m.,Saturday,16.31,,
12 - 12.59 a.m.,Sunday,12.83,,
1 - 1.59 a.m.,Sunday,15.12,,
2 - 4.59 a.m.,Sunday,14.75,,
5 - 6.59 a.m.,Sunday,6.79,,
7 - 9.59 a.m.,Sunday,2.59,,
10 - 1.59 p.m.,Sunday,3.04,,
2 - 4.29 p.m.,Sunday,4.77,,
4.30 - 6.29 p.m.,Sunday,7.34,,
6.30 - 8.59 p.m.,Sunday,10.34,,
9 - 10.59 p.m.,Sunday,11.81,,
11 - 11.59 p.m.,Sunday,12.99,,
