Time,Day,Percentage,,
12 - 12.59 a.m.,Monday,5.47,,
1 - 1.59,Monday,6.45,,
2 - 4.59,Monday,6.29,,
5 - 6.59,Monday,2.90,,
7 - 9.59,Monday,1.10,,
10 - 1.59 p.m.,Monday,1.30,,
2 - 4.29,Monday,2.04,,
4.30 - 6.29,Monday,3.13,,
6.30 - 8.59,Monday,4.41,,
9 - 10.59,Monday,5.04,,
11 - 11.59,Monday,5.54,,
12 - 12.59 a.m.,Tuesday,5.35,,
1 - 1.59,Tuesday,6.30,,
2 - 4.59,Tuesday,6.15,,
5 - 6.59,Tuesday,2.83,,
7 - 9.59,Tuesday,1.08,,
10 - 1.59 p.m.,Tuesday,1.27,,
2 - 4.29,Tuesday,1.99,,
4.30 - 6.29,Tuesday,3.06,,
6.30 - 8.59,Tuesday,4.31,,
9 - 10.59,Tuesday,4.92,,
11 - 11.59,Tuesday,5.41,,
12 - 12.59 a.m.,Wednesday,5.91,,
1 - 1.59,Wednesday,6.97,,
2 - 4.59,Wednesday,6.80,,
5 - 6.59,Wednesday,3.13,,
7 - 9.59,Wednesday,1.19,,
10 - 1.59 p.m.,Wednesday,1.40,,
2 - 4.29,Wednesday,2.20,,
4.30 - 6.29,Wednesday,3.38,,
6.30 - 8.59,Wednesday,4.77,,
9 - 10.59,Wednesday,5.44,,
11 - 11.59,Wednesday,5.99,,
12 - 12.59 a.m.,Thursday,6.92,,
1 - 1.59,Thursday,8.15,,
2 - 4.59,Thursday,7.95,,
5 - 6.59,Thursday,3.66,,
7 - 9.59,Thursday,1.40,,
10 - 1.59 p.m.,Thursday,1.64,,
2 - 4.29,Thursday,2.57,,
4.30 - 6.29,Thursday,3.96,,
6.30 - 8.59,Thursday,5.58,,
9 - 10.59,Thursday,6.37,,
11 - 11.59,Thursday,7.01,,
12 - 12.59 a.m.,Friday,10.19,,
1 - 1.59,Friday,12.00,,
2 - 4.59,Friday,11.71,,
5 - 6.59,Friday,5.39,,
7 - 9.59,Friday,2.06,,
10 - 1.59 p.m.,Friday,2.41,,
2 - 4.29,Friday,3.79,,
4.30 - 6.29,Friday,5.83,,
6.30 - 8.59,Friday,8.21,,
9 - 10.59,Friday,9.38,,
11 - 11.59,Friday,10.32,,
12 - 12.59 a.m.,Saturday,16.10,,
1 - 1.59,Saturday,18.97,,
2 - 4.59,Saturday,18.51,,
5 - 6.59,Saturday,8.52,,
7 - 9.59,Saturday,3.25,,
10 - 1.59 p.m.,Saturday,3.81,,
2 - 4.29,Saturday,5.99,,
4.30 - 6.29,Saturday,9.22,,
6.30 - 8.59,Saturday,12.98,,
9 - 10.59,Saturday,14.82,,
11 - 11.59,Saturday,16.31,,
12 - 12.59 a.m.,Sunday,12.83,,
1 - 1.59,Sunday,15.12,,
2 - 4.59,Sunday,14.75,,
5 - 6.59,Sunday,6.79,,
7 - 9.59,Sunday,2.59,,
10 - 1.59 p.m.,Sunday,3.04,,
2 - 4.29,Sunday,4.77,,
4.30 - 6.29,Sunday,7.34,,
6.30 - 8.59,Sunday,10.34,,
9 - 10.59,Sunday,11.81,,
11 - 11.59,Sunday,12.99,,
