Entity,Code,Year,Deaths,,,
Australia,AUS,1990,31.89790228286590,,,
Australia,AUS,1995,27.442341180205800,,,
Australia,AUS,2000,26.19524983288750,,,
Australia,AUS,2005,24.62358034108620,,,
Australia,AUS,2015,23.6186059399548,,,
Australia,AUS,2019,22.807369675920500,,,
Belgium,BEL,1990,46.1966860378442,,,
Belgium,BEL,1995,44.83167128283020,,,
Belgium,BEL,2000,44.01647824698650,,,
Belgium,BEL,2005,42.01938338433450,,,
Belgium,BEL,2015,35.88939028314270,,,
Belgium,BEL,2019,34.2975167270595,,,
Canada,CAN,1990,24.93414336964380,,,
Canada,CAN,1995,21.920246042123700,,,
Canada,CAN,2000,21.048828672349100,,,
Canada,CAN,2005,21.47778366955630,,,
Canada,CAN,2015,22.288930349694900,,,
Canada,CAN,2019,22.41332543350700,,,
Japan,JPN,1990,26.98699098206770,,,
Japan,JPN,1995,26.422504000049300,,,
Japan,JPN,2000,24.249767532142900,,,
Japan,JPN,2005,22.00869669306770,,,
Japan,JPN,2015,16.544578523436700,,,
Japan,JPN,2019,16.390114871123800,,,
Netherlands,NLD,1990,28.36187069027690,,,
Netherlands,NLD,1995,29.67823880918620,,,
Netherlands,NLD,2000,30.7413526689075,,,
Netherlands,NLD,2005,28.29062701156090,,,
Netherlands,NLD,2015,23.463907363211400,,,
Netherlands,NLD,2019,23.37736221430910,,,
Norway,NOR,1990,14.249918599874500,,,
Norway,NOR,1995,13.84767087523460,,,
Norway,NOR,2000,15.6101626677353,,,
Norway,NOR,2005,17.43047738107000,,,
Norway,NOR,2015,15.481629829923000,,,
Norway,NOR,2019,14.647748099282400,,,
United Kingdom,GBR,1990,12.877897724157900,,,
United Kingdom,GBR,1995,17.025438085877500,,,
United Kingdom,GBR,2000,22.970229373748500,,,
United Kingdom,GBR,2005,25.490605411275,,,
United Kingdom,GBR,2015,23.56209963323610,,,
United Kingdom,GBR,2019,23.29709997571900,,,
United States of America,USA,1990,26.32257089121700,,,
United States of America,USA,1995,24.830479701069800,,,
United States of America,USA,2000,23.715696002943800,,,
United States of America,USA,2005,25.61289292116950,,,
United States of America,USA,2015,28.15402776635310,,,
United States of America,USA,2019,28.074418698680900,,,
