Year,Type,Litre,Percentage
1850,Wine,0.3,0.0377358490566038
1860,Wine,0.38,0.04
1870,Wine,0.38,0.05
1880,Wine,0.53,0.08
1890,Wine,0.53,0.0702917771883289
1895,Wine,0.42,0.0497041420118343
1900,Wine,0.38,0.048780487804878
1905,Wine,0.49,0.0541436464088398
1910,Wine,0.64,0.07
1915,Wine,0.53,0.0546955624355005
1919,Wine,0.45,0.06
1920,Wine,0,
1925,Wine,0,
1933,Wine,0,
1934,Wine,0.26,0.0708446866485014
1935,Wine,0.34,0.07
1936,Wine,0.45,0.08
1937,Wine,0.49,0.0815307820299501
1938,Wine,0.49,0.09
1939,Wine,0.53,0.09
1940,Wine,0.61,0.10
1941,Wine,0.68,0.11
1942,Wine,0.83,0.11
1943,Wine,0.64,0.0923520923520924
1944,Wine,0.68,0.09
1945,Wine,0.76,0.09
1946,Wine,0.91,0.10
1947,Wine,0.61,0.0793237971391417
1948,Wine,0.76,0.10
1949,Wine,0.83,0.11
1950,Wine,0.87,0.11
1951,Wine,0.76,0.0998685939553219
1952,Wine,0.79,0.11
1953,Wine,0.76,0.10
1954,Wine,0.79,0.106612685560054
1955,Wine,0.83,0.11
1956,Wine,0.83,0.11
1957,Wine,0.83,0.11
1958,Wine,0.83,0.11
1959,Wine,0.83,0.11
1960,Wine,0.83,0.11
1961,Wine,0.87,0.11
1962,Wine,0.83,0.10
1963,Wine,0.87,0.11
1964,Wine,0.91,0.107692307692308
1965,Wine,0.91,0.11
1966,Wine,0.91,0.10
1967,Wine,0.95,0.11
1968,Wine,0.98,0.11
1969,Wine,0.98,0.10
1970,Wine,1.02,0.106918238993711
1971,Wine,1.17,0.12
1972,Wine,1.14,0.12
1973,Wine,1.17,0.12
1974,Wine,1.17,0.115841584158416
1975,Wine,1.21,0.118860510805501
1976,Wine,1.21,0.12
1977,Wine,1.1,0.11011011011011
1978,Wine,1.17,0.11
1979,Wine,1.21,0.12
1980,Wine,1.29,0.12
1981,Wine,1.32,0.13
1982,Wine,1.36,0.13
1983,Wine,1.36,0.13
1984,Wine,1.4,0.139026812313803
1985,Wine,1.44,0.15
1986,Wine,1.48,0.15
1987,Wine,1.44,0.149843912591051
1988,Wine,1.36,0.14
1989,Wine,1.29,0.14
1990,Wine,1.25,0.14
1991,Wine,1.14,0.13
1992,Wine,1.14,0.13
1993,Wine,1.06,0.13
1994,Wine,1.06,0.13
1995,Wine,1.1,0.135135135135135
1996,Wine,1.14,0.14
1997,Wine,1.14,0.14
1998,Wine,1.14,0.14
1999,Wine,1.17,0.14
2000,Wine,1.17,0.14
2001,Wine,1.17,0.14
2002,Wine,1.25,0.15
2003,Wine,1.29,0.15
2004,Wine,1.32,0.16
2005,Wine,1.36,0.159811985898942
2006,Wine,1.4,0.162224797219003
2007,Wine,1.44,0.16
2008,Wine,1.44,0.16
2009,Wine,1.48,0.1699196326062
2010,Wine,1.44,0.168224299065421
2011,Wine,1.55,0.18
2012,Wine,1.59,0.18
2013,Wine,1.59,0.18
1850,Spirits,7.12,0.89559748427673
1860,Spirits,8.18,0.85
1870,Spirits,5.79,0.74
1880,Spirits,3.86,0.59
1890,Spirits,3.6,0.477453580901857
1895,Spirits,3.6,0.42603550295858
1900,Spirits,2.91,0.373555840821566
1905,Spirits,3.6,0.397790055248619
1910,Spirits,3.63,0.37
1915,Spirits,3.56,0.367389060887513
1919,Spirits,2.88,0.39
1920,Spirits,0,
1925,Spirits,0,
1933,Spirits,0,
1934,Spirits,1.1,0.299727520435967
1935,Spirits,1.63,0.36
1936,Spirits,2.23,0.39
1937,Spirits,2.42,0.402662229617304
