Year,Type,Litre
1850,Wine,0.3
1860,Wine,0.38
1870,Wine,0.38
1880,Wine,0.53
1890,Wine,0.53
1895,Wine,0.42
1900,Wine,0.38
1905,Wine,0.49
1910,Wine,0.64
1915,Wine,0.53
1919,Wine,0.45
1920,Wine,0
1925,Wine,0
1933,Wine,0
1934,Wine,0.26
1935,Wine,0.34
1936,Wine,0.45
1937,Wine,0.49
1938,Wine,0.49
1939,Wine,0.53
1940,Wine,0.61
1941,Wine,0.68
1942,Wine,0.83
1943,Wine,0.64
1944,Wine,0.68
1945,Wine,0.76
1946,Wine,0.91
1947,Wine,0.61
1948,Wine,0.76
1949,Wine,0.83
1950,Wine,0.87
1951,Wine,0.76
1952,Wine,0.79
1953,Wine,0.76
1954,Wine,0.79
1955,Wine,0.83
1956,Wine,0.83
1957,Wine,0.83
1958,Wine,0.83
1959,Wine,0.83
1960,Wine,0.83
1961,Wine,0.87
1962,Wine,0.83
1963,Wine,0.87
1964,Wine,0.91
1965,Wine,0.91
1966,Wine,0.91
1967,Wine,0.95
1968,Wine,0.98
1969,Wine,0.98
1970,Wine,1.02
1971,Wine,1.17
1972,Wine,1.14
1973,Wine,1.17
1974,Wine,1.17
1975,Wine,1.21
1976,Wine,1.21
1977,Wine,1.1
1978,Wine,1.17
1979,Wine,1.21
1980,Wine,1.29
1981,Wine,1.32
1982,Wine,1.36
1983,Wine,1.36
1984,Wine,1.4
1985,Wine,1.44
1986,Wine,1.48
1987,Wine,1.44
1988,Wine,1.36
1989,Wine,1.29
1990,Wine,1.25
1991,Wine,1.14
1992,Wine,1.14
1993,Wine,1.06
1994,Wine,1.06
1995,Wine,1.1
1996,Wine,1.14
1997,Wine,1.14
1998,Wine,1.14
1999,Wine,1.17
2000,Wine,1.17
2001,Wine,1.17
2002,Wine,1.25
2003,Wine,1.29
2004,Wine,1.32
2005,Wine,1.36
2006,Wine,1.4
2007,Wine,1.44
2008,Wine,1.44
2009,Wine,1.48
2010,Wine,1.44
2011,Wine,1.55
2012,Wine,1.59
2013,Wine,1.59
1850,Spirits,7.12
1860,Spirits,8.18
1870,Spirits,5.79
1880,Spirits,3.86
1890,Spirits,3.6
1895,Spirits,3.6
1900,Spirits,2.91
1905,Spirits,3.6
1910,Spirits,3.63
1915,Spirits,3.56
1919,Spirits,2.88
1920,Spirits,0
1925,Spirits,0
1933,Spirits,0
1934,Spirits,1.1
1935,Spirits,1.63
1936,Spirits,2.23
1937,Spirits,2.42
1938,Spirits,2.23
1939,Spirits,2.35
1940,Spirits,2.54
1941,Spirits,2.69
1942,Spirits,3.22
1943,Spirits,2.5
1944,Spirits,2.88
1945,Spirits,3.33
1946,Spirits,3.75
1947,Spirits,2.88
1948,Spirits,2.65
1949,Spirits,2.65
1950,Spirits,2.91
1951,Spirits,2.95
1952,Spirits,2.76
1953,Spirits,2.91
1954,Spirits,2.8
1955,Spirits,2.91
1956,Spirits,3.07
1957,Spirits,3.03
1958,Spirits,3.03
1959,Spirits,3.18
1960,Spirits,3.26
1961,Spirits,3.26
1962,Spirits,3.41
1963,Spirits,3.44
1964,Spirits,3.6
1965,Spirits,3.75
1966,Spirits,3.86
1967,Spirits,3.97
1968,Spirits,4.16
1969,Spirits,4.28
1970,Spirits,4.2
1971,Spirits,4.24
1972,Spirits,4.13
1973,Spirits,4.16
1974,Spirits,4.2
1975,Spirits,4.2
1976,Spirits,4.16
1977,Spirits,4.01
1978,Spirits,4.05
1979,Spirits,4.01
1980,Spirits,3.94
1981,Spirits,3.86
1982,Spirits,3.71
1983,Spirits,3.63
1984,Spirits,3.56
1985,Spirits,3.41
1986,Spirits,3.18
1987,Spirits,3.1
1988,Spirits,2.99
1989,Spirits,2.91
1990,Spirits,2.91
1991,Spirits,2.69
1992,Spirits,2.69
1993,Spirits,2.57
1994,Spirits,2.46
1995,Spirits,2.38
1996,Spirits,2.38
1997,Spirits,2.35
1998,Spirits,2.35
1999,Spirits,2.35
2000,Spirits,2.42
2001,Spirits,2.42
2002,Spirits,2.42
2003,Spirits,2.54
2004,Spirits,2.57
2005,Spirits,2.65
2006,Spirits,2.69
2007,Spirits,2.73
2008,Spirits,2.76
2009,Spirits,2.8
2010,Spirits,2.8
2011,Spirits,2.88
2012,Spirits,2.95
2013,Spirits,3.03
1850,Beer,0.53
1860,Beer,1.02
1870,Beer,1.67
1880,Beer,2.12
1890,Beer,3.41
1895,Beer,4.43
1900,Beer,4.5
1905,Beer,4.96
1910,Beer,5.56
1915,Beer,5.6
1919,Beer,4.09
1920,Beer,0
1925,Beer,0
1933,Beer,0
1934,Beer,2.31
1935,Beer,2.57
1936,Beer,2.99
1937,Beer,3.1
1938,Beer,2.84
1939,Beer,2.84
1940,Beer,2.76
1941,Beer,3.07
1942,Beer,3.41
1943,Beer,3.79
1944,Beer,4.28
1945,Beer,4.43
1946,Beer,4.05
1947,Beer,4.2
1948,Beer,4.05
1949,Beer,4.01
1950,Beer,3.94
1951,Beer,3.9
1952,Beer,3.94
1953,Beer,3.94
1954,Beer,3.82
1955,Beer,3.82
1956,Beer,3.79
1957,Beer,3.67
1958,Beer,3.63
1959,Beer,3.79
1960,Beer,3.75
1961,Beer,3.67
1962,Beer,3.75
1963,Beer,3.82
1964,Beer,3.94
1965,Beer,3.94
1966,Beer,4.01
1967,Beer,4.05
1968,Beer,4.13
1969,Beer,4.24
1970,Beer,4.32
1971,Beer,4.35
1972,Beer,4.43
1973,Beer,4.54
1974,Beer,4.73
1975,Beer,4.77
1976,Beer,4.81
1977,Beer,4.88
1978,Beer,5.03
1979,Beer,5.19
1980,Beer,5.22
1981,Beer,5.26
1982,Beer,5.22
1983,Beer,5.19
1984,Beer,5.11
1985,Beer,5.03
1986,Beer,5.07
1987,Beer,5.07
1988,Beer,5.03
1989,Beer,4.96
1990,Beer,5.07
1991,Beer,4.88
1992,Beer,4.88
1993,Beer,4.77
1994,Beer,4.73
1995,Beer,4.66
1996,Beer,4.66
1997,Beer,4.62
1998,Beer,4.62
1999,Beer,4.66
2000,Beer,4.62
2001,Beer,4.66
2002,Beer,4.66
2003,Beer,4.58
2004,Beer,4.58
2005,Beer,4.5
2006,Beer,4.54
2007,Beer,4.58
2008,Beer,4.54
2009,Beer,4.43
2010,Beer,4.32
2011,Beer,4.24
2012,Beer,4.28
2013,Beer,4.24
